,stop_name,line_num,stop_id,route_id,stop_lat,stop_lon,node_id
384,Bay Terrace,1,S20,SI,40.5564,-74.136907,S20_SI
385,Baychester Av,1,502,5,40.878663,-73.838591,502_5
386,Beach 105 St,2,H14,A,40.583209,-73.827559,H14_A
387,Beach 105 St,2,H14,H,40.583209,-73.827559,H14_H
388,Beach 25 St,1,H10,A,40.600066,-73.761353,H10_A
389,Beach 36 St,1,H09,A,40.595398,-73.768175,H09_A
390,Beach 44 St,1,H08,A,40.592943,-73.776013,H08_A
391,Beach 60 St,1,H07,A,40.592374,-73.788522,H07_A
392,Beach 67 St,1,H06,A,40.590927,-73.796924,H06_A
393,Beach 90 St,2,H12,A,40.588034,-73.813641,H12_A
394,Beach 90 St,2,H12,H,40.588034,-73.813641,H12_H
395,Beach 98 St,2,H13,A,40.585307,-73.820558,H13_A
396,Beach 98 St,2,H13,H,40.585307,-73.820558,H13_H
397,Bedford - Nostrand Avs,1,G33,G,40.689627,-73.953522,G33_G
398,Bedford Av,1,L08,L,40.717304,-73.956872,L08_L
399,Bedford Park Blvd,2,D03,B,40.873244,-73.887138,D03_B
400,Bedford Park Blvd,2,D03,D,40.873244,-73.887138,D03_D
401,Bedford Park Blvd - Lehman College,1,405,4,40.873412,-73.890064,405_4
402,Bergen St,5,236,2,40.680829,-73.975098,236_2
403,Bergen St,5,236,3,40.680829,-73.975098,236_3
404,Bergen St,5,236,4,40.680829,-73.975098,236_4
405,Bergen St,5,F20,F,40.686145,-73.990862,F20_F
406,Bergen St,5,F20,G,40.686145,-73.990862,F20_G
407,Beverley Rd,1,D29,Q,40.644031,-73.964492,D29_Q
408,Beverly Rd,2,245,2,40.645098,-73.948959,245_2
409,Beverly Rd,2,245,5,40.645098,-73.948959,245_5
410,Bleecker St,2,637,4,40.725915,-73.994659,637_4
411,Bleecker St,2,637,6,40.725915,-73.994659,637_6
412,Borough Hall,5,232,2,40.693219,-73.989998,232_2
413,Borough Hall,5,423,2,40.692404,-73.990151,423_2
414,Borough Hall,5,232,3,40.693219,-73.989998,232_3
415,Borough Hall,5,423,4,40.692404,-73.990151,423_4
416,Borough Hall,5,423,5,40.692404,-73.990151,423_5
417,Botanic Garden,1,S04,FS,40.670343,-73.959245,S04_FS
418,Bowery,2,M19,J,40.72028,-73.993915,M19_J
419,Bowery,2,M19,M,40.72028,-73.993915,M19_M
420,Bowling Green,3,420,2,40.704817,-74.014065,420_2
421,Bowling Green,3,420,4,40.704817,-74.014065,420_4
422,Bowling Green,3,420,5,40.704817,-74.014065,420_5
423,Briarwood - Van Wyck Blvd,2,F05,E,40.709179,-73.820574,F05_E
424,Briarwood - Van Wyck Blvd,2,F05,F,40.709179,-73.820574,F05_F
425,Brighton Beach,2,D40,B,40.577621,-73.961376,D40_B
426,Brighton Beach,2,D40,Q,40.577621,-73.961376,D40_Q
427,Broad Channel,2,H04,A,40.608382,-73.815925,H04_A
428,Broad Channel,2,H04,H,40.608382,-73.815925,H04_H
429,Broad St,1,M23,J,40.706476,-74.011056,M23_J
430,Broadway,3,G30,G,40.706092,-73.950308,G30_G
431,Broadway,3,R05,N,40.76182,-73.925508,R05_N
432,Broadway,3,R05,W,40.76182,-73.925508,R05_W
433,Broadway Jct,5,A51,A,40.678334,-73.905316,A51_A
434,Broadway Jct,5,A51,C,40.678334,-73.905316,A51_C
435,Broadway Jct,5,J27,J,40.679498,-73.904512,J27_J
436,Broadway Jct,5,L22,L,40.678856,-73.90324,L22_L
437,Broadway Jct,5,J27,M,40.679498,-73.904512,J27_M
438,Broadway-Lafayette St,4,D21,B,40.725297,-73.996204,D21_B
439,Broadway-Lafayette St,4,D21,D,40.725297,-73.996204,D21_D
440,Broadway-Lafayette St,4,D21,F,40.725297,-73.996204,D21_F
441,Broadway-Lafayette St,4,D21,M,40.725297,-73.996204,D21_M
